id_integrante;unidade;cargo;nome;idade;status_integrante;fonte_recrutamento;ano_contratacao
E001;Beta;Assistente;Evans;38;Ativo;Site da Empresa;01/09/2015
E002;Beta;Gerente;Ramos;45;Ativo;Indicação Funcionários;03/02/2015
E003;Beta;Gerente;Montgomery;49;Ativo;Site de Vagas;06/07/2017
E004;Sul;Consultor;Morris;26;Ativo;Site de Vagas;04/11/2018
E005;Sul;Gerente;Simmons;35;Ativo;Feira de Contratação;28/09/2017
E006;Alpha;Consultor;Vasquez;42;Ativo;Site de Vagas;04/12/2017
E007;Gama;Supervisor;Simpson;30;Ativo;Site de Vagas;18/08/2016
E008;Alpha;Consultor;Rivera;27;Ativo;Feira de Contratação;06/07/2017
E009;Alpha;Gerente;Martinez;35;Ativo;Indicação Funcionários;07/06/2019
E010;Beta;Operador;Burton;38;Ativo;Site de Vagas;30/06/2016
E011;Gama;Assistente;Porter;35;Ativo;Site da Empresa;01/09/2015
E012;Sul;Assistente;Butler;25;Ativo;Feira de Contratação;18/08/2016
E013;Alpha;Operador;Alexander;36;Ativo;Site de Vagas;30/09/2014
E014;Alpha;Gerente;Duncan;41;Ativo;Feira de Contratação;10/11/2016
E015;Sul;Assistente;Peters;31;Ativo;Indicação Funcionários;06/08/2016
E016;Alpha;Supervisor;Castillo;47;Ativo;Site de Vagas;19/02/2015
E017;Alpha;Assistente;Kim;49;Ativo;Site da Empresa;18/02/2016
E018;Gama;Consultor;Long;38;Ativo;Indicação Funcionários;06/08/2016
E019;Alpha;Operador;Diaz;29;Ativo;Site de Vagas;03/02/2015
E020;Sul;Supervisor;Larson;30;Ativo;Indicação Funcionários;29/03/2018
E021;Beta;Operador;Hanson;36;Ativo;Site da Empresa;06/02/2015
E022;Alpha;Assistente;Ruiz;43;Ativo;Site de Vagas;11/05/2015
E023;Gama;Consultor;Hernandez;29;Ativo;Site de Vagas;07/09/2015
E024;Beta;Supervisor;Griffin;38;Ativo;Feira de Contratação;30/05/2014
E025;Sul;Consultor;Green;31;Ativo;Indicação Funcionários;06/08/2016
E026;Sul;Gerente;Armstrong;34;Ativo;Site de Vagas;10/05/2010
E027;Beta;Operador;Payne;42;Ativo;Site de Vagas;31/05/2017
E028;Beta;Supervisor;Bennett;33;Ativo;Site de Vagas;16/02/2017
E029;Sul;Supervisor;Cook;37;Ativo;Feira de Contratação;28/09/2017
E030;Sul;Consultor;Lewis;27;Ativo;Site da Empresa;01/07/2011
E031;Alpha;Assistente;Ryan;45;Ativo;Site de Vagas;03/04/2014
E032;Alpha;Operador;Hawkins;36;Ativo;Site de Vagas;04/12/2017
E033;Beta;Assistente;Little;38;Ativo;Site da Empresa;06/02/2015
E034;Alpha;Consultor;Nguyen;34;Ativo;Site de Vagas;14/05/2015
E035;Alpha;Operador;Roberts;31;Ativo;Site da Empresa;04/01/2016
E036;Gama;Assistente;Holmes;27;Ativo;Feira de Contratação;28/09/2017
E037;Beta;Assistente;Berry;47;Ativo;Site de Vagas;14/05/2015
E038;Alpha;Assistente;Brown;32;Ativo;Site da Empresa;19/02/2015
E039;Gama;Operador;Wallace;33;Ativo;Site da Empresa;30/03/2017
E040;Beta;Consultor;Cunningham;39;Ativo;Site da Empresa;30/04/2018
E041;Gama;Consultor;Torres;41;Ativo;Site da Empresa;10/10/2017
E042;Alpha;Consultor;Fowler;37;Ativo;Indicação Funcionários;30/03/2017
E043;Beta;Assistente;Price;33;Ativo;Site da Empresa;15/05/2014
E044;Gama;Gerente;Tucker;52;Ativo;Feira de Contratação;31/05/2017
E045;Beta;Consultor;Rice;39;Ativo;Feira de Contratação;29/09/2016
E046;Gama;Assistente;Graham;54;Ativo;Indicação Funcionários;31/05/2017
E047;Gama;Assistente;Reynolds;31;Ativo;Feira de Contratação;16/02/2017
E048;Alpha;Assistente;Miller;33;Ativo;Indicação Funcionários;29/09/2016
E049;Sul;Consultor;Walker;52;Ativo;Site da Empresa;18/08/2016
E050;Gama;Assistente;Williams;27;Ativo;Site de Vagas;09/03/2014
E051;Sul;Gerente;Day;33;Ativo;Site de Vagas;04/12/2017
